TEAM,NAME,EXPERIENCE,URL,POSITION,AGE,HT,WT,COLLEGE,SALARY,PPG_LAST_SEASON,APG_LAST_SEASON,RPG_LAST_SEASON,PER_LAST_SEASON,PPG_CAREER,APG_CAREER,RGP_CAREER,GP,MPG,FGM_FGA,FGP,THM_THA,THP,FTM_FTA,FTP,APG,BLKPG,STLPG,TOPG,PPG
Toronto Raptors,Kyle Collinsworth,1,http://www.espn.com/nba/player/_/id/2528327,PG,27,198.12,95.02,BYU,Not signed,3.2,1.8,3.3,9.97,3.2,1.8,3.3,32,15,1.2-3.1,0.384,0.1-0.5,0.235,0.7-1.3,0.525,1.8,0.3,0.5,0.8,3.2
Toronto Raptors,Kay Felder,2,http://www.espn.com/nba/player/_/id/3062892,PG,23,175.26,79.64,Oakland,Not signed,3.6,1.3,1.1,3.64,3.8,1.3,1,58,9.1,1.4-3.9,0.364,0.2-0.7,0.268,0.8-1.1,0.754,1.3,0.1,0.4,0.8,3.8
Toronto Raptors,Danny Green,9,http://www.espn.com/nba/player/_/id/3988,SG,31,198.12,97.29,North Carolina,"10,000,000",8.6,1.6,3.6,11.38,8.8,1.6,3.4,540,25.1,3.1-7.5,0.418,1.8-4.5,0.395,0.8-1.0,0.815,1.6,0.8,1,1,8.8
Toronto Raptors,Serge Ibaka,9,http://www.espn.com/nba/player/_/id/3439,PF,29,208.28,106.33,-,"21,666,667",12.6,6.3,1.3,14.72,12.1,7.2,2.2,679,28.9,5.0-9.8,0.512,0.6-1.7,0.367,1.4-1.9,0.761,0.7,2.2,0.4,1.3,12.1
Toronto Raptors,Kawhi Leonard,7,http://www.espn.com/nba/player/_/id/6450,SF,27,200.66,104.07,San Diego State,"23,114,067",16.2,2.3,4.7,26.03,16.3,2.3,6.2,407,30.4,6.0-12.1,0.495,1.3-3.4,0.386,3.1-3.7,0.846,2.3,0.7,1.8,1.4,16.3
Toronto Raptors,Kyle Lowry,12,http://www.espn.com/nba/player/_/id/3012,PG,32,185.42,88.69,Villanova,"31,200,000",16.2,6.9,5.6,19.53,14.4,5.9,4.2,791,31.1,4.6-10.9,0.425,1.7-4.7,0.37,3.4-4.3,0.803,5.9,0.3,1.3,2.2,14.4
Toronto Raptors,Jordan Loyd,0,http://www.espn.com/nba/player/_/id/2595592,PG,25,193.04,95.02,Indianapolis,Not signed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toronto Raptors,CJ Miles,13,http://www.espn.com/nba/player/_/id/2778,SF,31,198.12,99.55,-,"8,333,333",10,0.8,2.2,13.08,9.8,1.1,2.4,785,20.7,3.5-8.5,0.414,1.5-4.1,0.361,1.3-1.6,0.809,1.1,0.3,0.7,0.9,9.8
Toronto Raptors,Greg Monroe,8,http://www.espn.com/nba/player/_/id/4260,C,28,210.82,119.91,Georgetown,"1,512,601",10.3,6.9,0.5,21.24,13.7,8.6,0.6,589,28.9,5.5-10.7,0.515,0.0-0.0,0,2.7-3.8,0.707,2.3,0.6,1.1,2,13.7
Toronto Raptors,Eric Moreland,3,http://www.espn.com/nba/player/_/id/2531352,C,26,208.28,107.69,Oregon State,"1,826,300",2.1,4.1,0.8,13.99,2,3.7,0.7,78,11,0.9-1.7,0.543,0.0-0.0,0,0.2-0.4,0.394,1,0.7,0.4,0.6,2
Toronto Raptors,Norman Powell,3,http://www.espn.com/nba/player/_/id/2595516,SF,25,193.04,97.29,UCLA,"9,367,200",5.5,1.3,1.7,8.57,6.6,1.1,2,195,16.2,2.4-5.7,0.427,0.7-2.3,0.324,1.0-1.3,0.801,1.1,0.2,0.6,0.9,6.6
Toronto Raptors,Malachi Richardson,2,http://www.espn.com/nba/player/_/id/3934663,SG,22,198.12,92.76,Syracuse,"1,569,360",3.4,0.5,1.3,5.91,3.5,0.5,1.2,48,10.9,1.2-3.3,0.367,0.4-1.4,0.294,0.7-0.9,0.78,0.5,0,0.3,0.4,3.5
Toronto Raptors,Pascal Siakam,2,http://www.espn.com/nba/player/_/id/3149673,PF,24,205.74,104.07,New Mexico State,"1,544,951",7.3,4.5,0.5,14.54,6,4,0.6,136,18.7,2.6-5.2,0.506,0.2-1.0,0.216,0.6-0.9,0.639,1.3,0.6,0.6,0.7,6
Toronto Raptors,Jonas Valanciunas,6,http://www.espn.com/nba/player/_/id/6477,C,26,213.36,119.91,-,"16,539,326",12.7,8.6,0.9,22.52,11.7,8.5,1,440,25.5,4.6-8.2,0.558,0.1-0.2,0.397,2.4-3.1,0.785,0.7,1,0.4,1.5,11.7
